Column1,link,text,date,NoOfComments,NoOfRetweets,NoOfQuotes,NoOfLikes,LinkToPicture
18,https://twitter.com/RONBupdates/status/1749430488211833210#m,?????? ????????? ????? ?????????? ????? ??????? ????? ???????? ? ???+ ???? ??????? ? ? ????,"Jan 22, 2024 · 1:55 PM UTC",17,117,13,1208,['https://pbs.twimg.com/media/GEc5wBfWgAAwdlB.jpg']
19,https://twitter.com/RONBupdates/status/1749423955981857018#m,"???? ?????? ??? ??????? ?????? ?????? ????? ???????  ???????????? ???? ?????  ??????? ???? ?????? ????? ????? ?????  ????? ?????? ??? ???????  ????? ??????? ???? ??? ???? ???? ""?????? ???"" ?? ?? ??? Subscriber ???? ???? ??? ???? ? ? ?? #Congrats","Jan 22, 2024 · 1:29 PM UTC",5,8,5,300,['https://pbs.twimg.com/media/GEczzxnXIAAaSGL.jpg']
20,https://twitter.com/RONBupdates/status/1749414653841559557#m,?????? ????????? ????? ?????????? ????? ??????? ?????? ????????? ????? ??? ???????? ??? ????? ???????? ?????? ??  Pic. @surajphotography58,"Jan 22, 2024 · 12:52 PM UTC",13,54,10,829,['https://pbs.twimg.com/media/GEcrWdZXIAARGw_.jpg']
21,https://twitter.com/RONBupdates/status/1749401512085012731#m,????????? ??? ???????? ????? ????? ????? ??? ???? ?? ??????? ??????????? ??? ???????? ???? ????  Pic. Carl Hosticka,"Jan 22, 2024 · 11:59 AM UTC",6,38,2,480,['https://pbs.twimg.com/media/GEcfZkRWsAEcFzi.jpg']
22,https://twitter.com/RONBupdates/status/1749391997981671828#m,Big Breaking: ????????? ??????? ????????? ?? ????? ???? ???????????? ???????? ???????????? ???????? ????? ????? ?????? ???? ????? ???? ???? ?????? ???????? ???????? ????? ??,"Jan 22, 2024 · 11:22 AM UTC",0,9,0,151,['https://pbs.twimg.com/media/GEcWvq6WQAA-_jw.jpg']
23,https://twitter.com/RONBupdates/status/1749376596778365208#m,????????? ????? ?????????? ????? ????? ?? ???????? ??? ????????: Janaki Mandir is ready for Ram Mandir Celebrations where more than 1 Lakhs 'Diyo' will be lighted. ????  Pic. Amrendra Yadav,"Jan 22, 2024 · 10:20 AM UTC",8,40,3,450,['https://pbs.twimg.com/media/GEcIvLjWQAAu6Ix.jpg']
24,https://twitter.com/RONBupdates/status/1749366057951965357#m,"Happy Birthday to Legendary Dr. Mahabir Pun, founder of National Innovation Center and winner of Ramon Magsaysay Award ( Asia's Nobel Prize ).","Jan 22, 2024 · 9:39 AM UTC",25,6,0,354,['https://pbs.twimg.com/media/GEb_JqzXsAAf337.jpg']
25,https://twitter.com/RONBupdates/status/1749358470942613576#m,?? ????? ????: Kathmandu has recorded 3.2°C temperature today which is the lowest temperature of this year till now. ??,"Jan 22, 2024 · 9:08 AM UTC",3,9,3,187,['https://pbs.twimg.com/media/GEb4QN3bAAARPYk.jpg']
26,https://twitter.com/RONBupdates/status/1749351336272134356#m,???????? MBBS ???? ????? Teaching Hospital ?? ??? ???????? ????? ???? ??? ??? ???????? ??? ?? ???????? ?? ?????? ?????? ????????? ???????? ?????????? ?????? ????? ? ?  Pic. anzaankc_,"Jan 22, 2024 · 8:40 AM UTC",7,5,2,127,['https://pbs.twimg.com/media/GEbxw9Sa0AAnbTj.jpg']
27,https://twitter.com/RONBupdates/status/1749330766390309171#m,Front view of Shree Ram Statue as Indian PM Modi touches the feet. ???? #JayShreeRam,"Jan 22, 2024 · 7:18 AM UTC",29,81,5,1516,['https://pbs.twimg.com/media/GEbfDoebQAEFdwP.jpg']
28,https://twitter.com/RONBupdates/status/1749327466454519952#m,Breaking: ????? ???? ????? ?????? ?????? ???? ????? ?????????? ???? ?????? ? ? ????,"Jan 22, 2024 · 7:05 AM UTC",4,22,2,730,['https://pbs.twimg.com/media/GEbcDcyacAAm60J.jpg']
29,https://twitter.com/RONBupdates/status/1749326148901966200#m,?????? ??????? ??? ???????? ????? ?????????? ???? ???? ???? ? ??? ??????? ???????? ????????? ??? ? ?? ???? ??? ????,"Jan 22, 2024 · 7:00 AM UTC",8,9,3,341,['https://pbs.twimg.com/media/GEba20oasAACJ_d.jpg']
30,https://twitter.com/RONBupdates/status/1749316260708667580#m,Nepali Cricketer Arjun Kumal gave a wonderful performance at the ongoing U-19 World Cup scoring 90 runs with New Zealand. He is getting huge appreciation for outstanding cricket skills and improvement. ??????   Pic. ICC,"Jan 22, 2024 · 6:21 AM UTC",2,3,0,134,['https://pbs.twimg.com/media/GEbR3RWbUAEBl9V.jpg']
31,https://twitter.com/RONBupdates/status/1749307576712614213#m,Full routine :,"Jan 22, 2024 · 5:46 AM UTC",0,1,0,17,['https://pbs.twimg.com/media/GEbJ9tebgAAKLxq.jpg']
32,https://twitter.com/RONBupdates/status/1749301412801175846#m,"World popular content creator Nas Daily has said that he would want to be like a happy Buddhist monk in future. After visiting Lumbini & making video about Buddhism he says to a monk, “One day I will be happy just like you."" ????","Jan 22, 2024 · 5:22 AM UTC",1,5,1,204,['https://pbs.twimg.com/media/GEbEXCFXAAAgIU7.jpg']
33,https://twitter.com/RONBupdates/status/1749299731220848886#m,SEE 2080 Exam Routine is here! #GoodLuckEveryone,"Jan 22, 2024 · 5:15 AM UTC",2,1,1,53,['https://pbs.twimg.com/media/GEbC1ItWMAAKSUQ.jpg']
34,https://twitter.com/RONBupdates/status/1749299533295816968#m,????? ?????????? ?????? ???? ??? ?????? ????! ??????? ????? ??????? ??????? ???? ??? ? ? #SitaRamBlessings ??,"Jan 22, 2024 · 5:14 AM UTC",6,17,4,401,['https://pbs.twimg.com/media/GEbCpouWIAEDt6n.jpg']
35,https://twitter.com/RONBupdates/status/1749292753052401704#m,"??? ?????? ?????? ?????: ??? ???? ???????? ?????? ??? ?? ?? ???? ???? ?????????? ??? ??? ????????? ???? ?? ?????? ????? ?? ??? ??? ????? ????? ??? ??? ????? ????? ????????? ??? ??????????? ?????? ?????? ??? ??? ???? ???? ????? ???? ?????????? ???? ????? ??????  ???? ?????? ?????? ????? ?????? ??????? ???????? ???? ??? ?????? ""??????? ??? ??????? ????? ????? ????? ????????? ???? ????? ??????? ???? ????? ??? ????? ?? ????? ????? ??? ?? ??????? ?????"" ??  Pic & Story. Niraj Patel (??????)","Jan 22, 2024 · 4:47 AM UTC",0,2,0,50,['https://pbs.twimg.com/media/GEa8e1caAAAFxlg.jpg']
36,https://twitter.com/RONBupdates/status/1749277071921332434#m,Sad News: Bardiya dekhi Kathmandu jadai gareko night bus Dang ko lamahi ma paltida 2 jana ko death vayko cha. Updates to follow. ??,"Jan 22, 2024 · 3:45 AM UTC",0,0,0,26,[]
37,https://twitter.com/RONBupdates/status/1749276771713978380#m,Good News: Nepali singer Menuka Paudel enters the top 10 of Indian Idol S14. ?????? #Congratulations,"Jan 22, 2024 · 3:44 AM UTC",4,7,1,268,['https://pbs.twimg.com/media/GEat8nXWAAAWjiM.jpg']
38,https://twitter.com/RONBupdates/status/1749257801195737583#m,Espali Sarawati Puja ra Valentine's Day ekaidin pareko cha i.e. Falgun 2. ??,"Jan 22, 2024 · 2:28 AM UTC",6,0,2,96,[]
39,https://twitter.com/RONBupdates/status/1749257319698080119#m,Popular Actor Jet Li is in Nepal & was seen with Actress Manisha Koirala during a religious event. ??,"Jan 22, 2024 · 2:26 AM UTC",9,11,1,513,['https://pbs.twimg.com/media/GEacQfcXMAA4VFZ.jpg']
40,https://twitter.com/RONBupdates/status/1749252450345963968#m,Big day in India: ?? ??????? ??? ???????? ????? ?????????? ???? ?????? ! ?? ???? ??? ????,"Jan 22, 2024 · 2:07 AM UTC",21,29,3,764,['https://pbs.twimg.com/media/GEaX02uXkAA_2Gf.jpg']
41,https://twitter.com/RONBupdates/status/1749105982322737200#m,"????????? ????  ????? ????? ?????????? ? ????? ???????  ??????? ?????, ??????? ???? ????? ????? ?? ?? ?","Jan 21, 2024 · 4:25 PM UTC",1,4,2,95,[]
42,https://twitter.com/RONBupdates/status/1749102339053760624#m,Just In: Nepal lost the match with New Zealand by 64 runs in ongoing U-19 Cricket World Cup. Arjun Kumal played brilliant innings of 90 runs.   Pic. CAN,"Jan 21, 2024 · 4:11 PM UTC",2,6,0,234,['https://pbs.twimg.com/media/GEYPTQUWMAEU_bn.jpg']
43,https://twitter.com/RONBupdates/status/1749088786435457281#m,It's time for RONB's extra dose of news for today. #StayUpdated,"Jan 21, 2024 · 3:17 PM UTC",0,2,0,35,['https://pbs.twimg.com/media/GEYC-ZyW0AAfobA.jpg']
44,https://twitter.com/RONBupdates/status/1749082120793047060#m,NEB is planning to publish detailed Routine of SEE exam 2080 tomorrow.,"Jan 21, 2024 · 2:50 PM UTC",2,3,0,64,['https://pbs.twimg.com/media/GEX86WUXIAAxBCg.jpg']
45,https://twitter.com/RONBupdates/status/1749071542254960947#m,"We all need someone who asks us, ""How was your day?"" at the end. This simple question can help us share any burdens we may be carrying and make us feel better. ??","Jan 21, 2024 · 2:08 PM UTC",13,11,5,224,['https://pbs.twimg.com/media/GEXzSslWsAAsAC2.jpg']
46,https://twitter.com/RONBupdates/status/1749067100398989602#m,"??????, ?????? ? ???????? ??? ?????? ????? ???? ??????? ????? ??????? ??????? ????????????:   ?. ????? ???? ?????? ??? ????? ? ??????? ???? ??????????  ?. ?????????? ?? ???? ?????? FOG ?????? ?????? ?????????? ?. ??????? ??? ?? ?????????? ?. ????????? ???? ???????????  ?. ?????? ????? ????? ??? ???? ???? ????? ??????????? #ShareforAwareness","Jan 21, 2024 · 1:51 PM UTC",1,0,0,35,['https://pbs.twimg.com/media/GEXvQGaXgAAaN7g.jpg']
